video_name,video_length_sec,observed_start_sec,observed_end_sec,observed_behaviour,observed_openness_1to4,matched_by_code_YN,notes
1-FemaleNoGlasses-Normal.avi,13.98,NA,NA,closed,no open,,code detected 0 event(s) in this clip
1-FemaleNoGlasses-Normal.avi,13.98,,,,,,
1-FemaleNoGlasses-Normal.avi,13.98,,,,,,
1-FemaleNoGlasses-Normal.avi,13.98,,,,,,
1-FemaleNoGlasses-Normal.avi,13.98,,,,,,
1-FemaleNoGlasses-Normal.avi,13.98,,,,,,
1-FemaleNoGlasses-Normal.avi,13.98,,,,,,
1-FemaleNoGlasses-Normal.avi,13.98,,,,,,
10-FemaleNoGlasses-Normal.avi,22.16,0:05,0:06,smile,just see teeth,,code detected 1 event(s) in this clip
10-FemaleNoGlasses-Normal.avi,22.16,0:10,0:11,just wet her lips with tongue,just see her tongue,,
10-FemaleNoGlasses-Normal.avi,22.16,,,,,,
10-FemaleNoGlasses-Normal.avi,22.16,,,,,,
10-FemaleNoGlasses-Normal.avi,22.16,,,,,,
10-FemaleNoGlasses-Normal.avi,22.16,,,,,,
10-FemaleNoGlasses-Normal.avi,22.16,,,,,,
10-FemaleNoGlasses-Normal.avi,22.16,,,,,,
1-FemaleNoGlasses-Talking.avi,18.68,0:00,0:11,talking,mixed,,code detected 7 event(s) in this clip
1-FemaleNoGlasses-Talking.avi,18.68,0:12,0:17,talking,mixed,,
1-FemaleNoGlasses-Talking.avi,18.68,0:18,0:18,smile,just see teeth,,
1-FemaleNoGlasses-Talking.avi,18.68,,,,,,
1-FemaleNoGlasses-Talking.avi,18.68,,,,,,
1-FemaleNoGlasses-Talking.avi,18.68,,,,,,
1-FemaleNoGlasses-Talking.avi,18.68,,,,,,
1-FemaleNoGlasses-Talking.avi,18.68,,,,,,
10-FemaleNoGlasses-Talking.avi,36.24,0:00,0:13,talking,1 to 2,,code detected 14 event(s) in this clip
10-FemaleNoGlasses-Talking.avi,36.24,0:15,0:15,briefly show her teeth,barely open,,
10-FemaleNoGlasses-Talking.avi,36.24,0:17,0:24,talking,1 to 2,,
10-FemaleNoGlasses-Talking.avi,36.24,0:25,0:34,talking,1 to 2,,
10-FemaleNoGlasses-Talking.avi,36.24,,,,,,
10-FemaleNoGlasses-Talking.avi,36.24,,,,,,
10-FemaleNoGlasses-Talking.avi,36.24,,,,,,
10-FemaleNoGlasses-Talking.avi,36.24,,,,,,
1-FemaleNoGlasses-Yawning.avi,12.91,0:01,0:05,yawning,4,,code detected 2 event(s) in this clip
1-FemaleNoGlasses-Yawning.avi,12.91,,,,,,
1-FemaleNoGlasses-Yawning.avi,12.91,,,,,,
1-FemaleNoGlasses-Yawning.avi,12.91,,,,,,
1-FemaleNoGlasses-Yawning.avi,12.91,,,,,,
1-FemaleNoGlasses-Yawning.avi,12.91,,,,,,
1-FemaleNoGlasses-Yawning.avi,12.91,,,,,,
1-FemaleNoGlasses-Yawning.avi,12.91,,,,,,
10-FemaleNoGlasses-Yawning.avi,21.12,0:01,0:04,yawning,4,,code detected 1 event(s) in this clip
10-FemaleNoGlasses-Yawning.avi,21.12,0:06,0:09,talking,1 to 2,,
10-FemaleNoGlasses-Yawning.avi,21.12,0:11,0:16,yawning,4,,
10-FemaleNoGlasses-Yawning.avi,21.12,0:18,0:21,smiling,just see teeth,,
10-FemaleNoGlasses-Yawning.avi,21.12,,,,,,
10-FemaleNoGlasses-Yawning.avi,21.12,,,,,,
10-FemaleNoGlasses-Yawning.avi,21.12,,,,,,
10-FemaleNoGlasses-Yawning.avi,21.12,,,,,,
